No. of Characters,No. of Words,No. of Paragraphs,No. of Unique words,No. of Noun,No. of Adv,No. of Verb,No. of Adverb,Score
870,229,1,37,38,15,50,16,5
1573,347,1,43,88,16,65,26,8
1174,276,1,40,45,11,67,25,6
1719,396,1,45,94,20,101,21,8
1013,245,1,43,59,12,44,11,6
950,216,1,42,47,19,54,7,6
568,129,1,36,30,12,23,6,5
1738,389,1,55,104,17,84,19,8
1359,306,1,46,84,19,59,15,8
1325,312,1,50,65,28,65,24,7
1340,321,1,50,74,27,65,25,7
1773,384,1,41,100,23,69,23,7
1995,464,1,51,96,23,100,37,8
746,158,1,50,46,13,39,8,5
3307,596,1,60,207,46,104,28,9
650,150,1,33,40,5,29,7,7
1995,445,1,49,108,39,92,30,9
2106,453,1,46,107,26,91,35,8
1394,316,1,39,79,23,63,23,7
567,127,1,40,29,8,25,5,5
1686,377,1,52,96,27,74,27,8
1841,435,1,45,99,39,81,35,7
1901,400,1,60,112,35,69,26,8
1676,368,1,46,104,30,67,12,7
1324,295,1,50,83,21,58,13,7
2237,495,1,52,119,42,120,28,8
1673,385,1,50,96,32,82,13,8
1454,326,1,47,72,24,65,23,7
1870,411,1,52,113,27,81,30,8
1147,261,1,48,59,27,51,27,7
1011,229,1,49,73,18,42,13,8
879,197,1,45,49,19,36,18,7
1960,487,1,45,99,30,91,25,7
1641,343,1,40,91,15,62,24,7
1147,277,1,48,66,19,57,20,6
1397,286,1,56,92,25,58,10,7
522,103,1,38,41,4,18,2,4
1594,353,1,39,104,13,70,3,7
2319,513,1,52,143,40,91,23,8
1495,305,1,46,95,30,56,12,7
1440,319,1,45,74,22,68,25,7
2063,434,1,49,134,35,85,26,8
1267,318,1,48,79,21,57,28,7
1523,327,1,53,91,24,76,31,8
1258,274,1,38,71,18,60,15,7
2418,495,1,55,136,40,95,28,8
1020,264,1,36,49,19,50,16,7
635,140,1,53,43,10,34,7,5
1220,264,1,40,66,19,57,24,7
1961,416,1,50,103,33,91,30,8
1648,317,1,59,119,28,62,27,8
552,125,1,44,41,3,25,3,5
1628,332,1,49,90,18,77,25,7
1479,341,1,51,73,30,81,26,7
1291,307,1,50,83,19,65,17,7
1115,251,1,45,69,25,51,14,5
773,184,1,43,47,10,32,10,5
1783,439,1,49,111,18,94,21,8
1033,248,1,44,67,14,56,10,5
562,127,1,43,32,13,16,11,3
1312,321,1,40,73,22,70,16,7
1526,344,1,46,93,18,69,13,8
1454,322,1,51,82,16,62,26,8
1353,322,1,45,86,19,62,17,7
1316,285,1,49,71,32,58,21,7
2199,472,1,59,132,30,92,41,8
1083,261,1,40,58,13,63,16,7
2079,466,1,38,111,32,100,37,8
1110,239,1,42,71,13,50,14,7
1912,420,1,51,113,33,74,28,8
959,211,1,46,56,15,46,9,6
1195,250,1,49,65,11,55,16,7
682,137,1,45,42,9,31,4,5
1571,359,1,44,96,24,75,22,7
2725,579,1,60,157,41,120,33,8
1167,279,1,37,65,16,56,16,5
1785,387,1,51,104,20,77,21,6
1675,376,1,49,78,28,78,34,7
238,50,1,25,14,3,9,4,2
1442,323,1,43,90,22,61,22,7
1740,397,1,52,99,23,88,22,7
1731,368,1,52,99,22,67,24,7
791,177,1,51,42,10,39,13,6
2052,451,1,51,109,42,96,34,8
1809,396,1,53,99,27,88,31,8
477,97,1,31,30,14,14,5,3
703,167,1,39,44,5,33,8,5
1287,286,1,49,77,26,51,22,7
1683,416,1,47,86,26,99,26,7
1419,299,1,51,93,15,63,20,7
2006,379,1,51,123,23,70,23,9
1017,219,1,43,46,19,50,26,6
646,140,1,31,41,8,33,7,4
2257,532,1,55,115,24,110,53,9
1280,306,1,46,81,21,41,17,6
1708,373,1,48,85,19,90,24,7
2413,545,1,48,120,28,114,15,8
2414,529,1,51,152,38,125,24,7
1887,431,1,50,104,16,86,22,8
1227,287,1,42,61,11,66,26,7
1078,233,1,51,72,21,50,15,7
1238,288,1,53,83,19,53,17,8
1088,249,1,41,63,7,51,29,7
1117,270,1,53,66,17,56,5,7
2657,613,1,57,157,33,138,30,9
2022,422,1,65,126,33,76,31,8
1288,311,1,49,81,18,69,14,7
1294,312,1,36,67,32,66,14,8
2515,531,1,45,138,40,112,30,8
1172,248,1,48,68,11,43,22,6
2095,446,1,55,127,42,83,25,8
2643,512,1,62,175,29,90,33,8
1873,421,1,58,96,42,79,25,8
2262,473,1,57,117,40,92,29,9
2396,534,1,50,135,30,118,48,8
143,32,1,33,10,2,10,1,2
1882,430,1,48,101,26,82,34,8
1454,338,1,52,75,25,73,25,7
1651,390,1,47,87,23,83,28,7
1718,389,1,45,95,28,80,17,8
2922,589,1,52,192,33,104,31,9
2461,550,1,57,146,35,115,31,8
1476,337,1,55,80,27,75,23,8
1452,331,1,49,59,21,74,29,7
1453,308,1,54,82,22,54,18,7
2150,472,1,56,129,30,98,24,8
1455,326,1,53,88,15,75,16,7
1208,263,1,41,53,21,54,21,7
1023,248,1,49,54,17,54,8,7
1727,379,1,50,92,33,84,16,8
1884,423,1,58,108,24,84,40,8
1329,340,1,44,75,16,77,18,7
1834,416,1,53,98,31,90,35,8
3260,712,1,58,176,59,147,52,9
1677,388,1,46,82,19,95,32,7
1179,241,1,49,74,22,46,11,7
1571,336,1,59,111,18,54,5,8
1658,362,1,50,94,19,82,21,8
1720,376,1,56,119,13,68,9,8
2281,422,1,56,140,28,83,39,8
1570,341,1,53,104,24,66,18,7
868,212,1,47,51,10,45,12,7
1847,430,1,42,107,23,79,30,8
1255,279,1,47,63,19,69,21,6
1939,398,1,59,114,40,67,22,8
3252,742,1,46,163,55,149,44,8
1923,445,1,59,93,25,81,42,8
1621,373,1,50,92,14,77,31,7
1376,316,1,37,67,20,68,14,7
2101,427,1,51,115,31,103,26,7
1272,275,1,52,81,25,52,12,7
2143,474,1,47,123,24,90,32,8
2065,508,1,47,91,27,115,30,8
2321,508,1,48,141,28,89,26,8
1392,341,1,47,76,23,75,28,7
1852,425,1,47,67,32,110,40,7
1060,224,1,45,75,13,42,7,7
1460,343,1,46,85,26,53,25,7
1320,289,1,43,88,23,39,17,8
2297,510,1,34,127,31,108,24,8
1351,302,1,48,83,15,68,26,7
1318,285,1,46,69,21,55,19,7
1818,414,1,49,94,25,100,23,8
1275,299,1,46,86,17,57,18,7
1217,276,1,46,79,25,42,7,7
1420,299,1,49,81,21,48,27,7
2162,461,1,58,110,36,92,51,9
1530,339,1,44,95,30,66,19,7
2736,515,1,61,185,36,82,35,9
1244,301,1,44,70,17,58,21,7
848,186,1,42,57,18,29,17,5
2089,414,1,51,115,42,77,30,9
1595,337,1,51,91,27,66,33,8
1546,365,1,48,75,27,81,27,7
1867,393,1,50,121,23,69,22,8
1110,218,1,44,66,26,41,14,7
1148,271,1,51,62,23,51,21,7
2262,456,1,51,135,35,105,24,8
1136,243,1,36,60,14,56,24,7
1111,257,1,48,62,12,53,19,7
1365,303,1,44,66,25,72,32,7
1701,382,1,54,96,25,79,38,8
1910,442,1,49,98,39,81,33,8
1573,343,1,58,77,38,77,31,7
1963,454,1,52,103,26,83,31,8
1649,370,1,51,83,24,84,21,7
1559,341,1,46,80,25,79,25,8
1608,379,1,50,77,23,81,32,7
2172,444,1,47,134,33,92,26,8
2030,481,1,50,105,37,95,34,8
1693,358,1,52,103,23,76,23,8
1926,463,1,59,119,30,83,30,8
2805,592,1,55,170,34,123,28,8
1638,395,1,48,81,27,75,32,8
2787,592,1,62,164,46,117,36,9
940,196,1,41,59,16,35,17,5
429,93,1,32,20,8,27,7,4
1863,413,1,56,111,29,85,33,7
2404,551,1,53,139,54,107,42,9
1158,303,1,45,58,15,74,17,7
2113,470,1,57,117,25,121,33,8
1659,354,1,53,94,17,74,27,7
1533,314,1,52,85,11,67,25,7
1566,408,1,46,116,24,74,19,7
667,162,1,39,35,14,35,4,5
1596,333,1,52,77,36,74,26,7
1154,227,1,51,67,22,39,15,6
1473,312,1,56,79,33,62,27,7
1758,379,1,50,102,23,78,21,7
506,117,1,44,32,10,22,6,4
3056,672,1,54,153,48,147,38,8
1853,414,1,47,100,31,96,28,7
910,195,1,46,52,16,48,15,6
1716,368,1,48,97,21,74,14,8
2375,505,1,59,148,30,99,24,9
1826,389,1,46,106,26,74,23,8
2111,478,1,51,103,27,111,38,8
2125,492,1,53,109,22,107,50,8
1964,437,1,53,124,32,77,21,8
1703,369,1,42,99,22,64,13,8
1518,353,1,49,80,23,70,21,7
2027,455,1,45,110,36,96,21,7
1432,321,1,46,90,24,56,9,7
1874,425,1,53,107,30,86,26,8
1353,301,1,44,81,19,59,24,7
927,209,1,50,60,21,47,7,7
2454,513,1,57,139,41,93,38,9
1486,346,1,48,75,23,69,24,7
2105,445,1,62,121,35,89,22,10
966,207,1,39,58,14,41,10,5
968,239,1,48,51,8,53,16,6
866,198,1,49,51,15,34,12,6
1582,384,1,46,63,28,91,31,7
2047,454,1,49,114,27,87,22,8
895,221,1,39,60,17,40,13,5
2028,428,1,57,118,21,72,35,8
1626,359,1,45,71,26,90,24,7
1090,259,1,47,48,10,67,18,5
2501,538,1,59,155,41,102,22,8
1197,290,1,43,61,15,47,28,6
1946,427,1,55,128,31,83,15,7
1463,325,1,54,91,26,60,22,8
1899,392,1,50,112,26,72,21,7
2053,444,1,53,116,29,84,26,9
1894,437,1,47,106,26,95,23,8
1699,388,1,53,96,28,80,17,8
1993,462,1,53,117,27,87,31,8
2059,451,1,59,130,34,86,23,8
2135,413,1,57,156,34,82,19,8
1972,427,1,57,131,24,85,24,8
1886,429,1,48,111,38,88,9,8
2244,483,1,47,131,41,91,30,8
1554,336,1,49,88,30,57,16,7
1891,384,1,50,118,25,79,29,8
1391,318,1,55,82,22,71,21,8
1452,336,1,51,67,23,73,26,7
1095,235,1,33,68,22,48,4,7
2028,464,1,57,118,29,87,25,8
1115,259,1,43,58,14,55,13,6
3453,718,1,57,178,38,151,48,9
1140,257,1,42,61,13,55,19,7
1506,332,1,46,84,11,71,22,6
2380,505,1,52,152,34,101,32,8
1694,382,1,37,89,35,86,14,7
1486,322,1,59,90,13,66,23,7
1015,224,1,48,60,12,54,13,5
1965,434,1,47,91,25,106,32,8
2226,491,1,55,119,36,111,39,9
1965,407,1,47,116,41,79,31,8
1540,349,1,48,91,14,74,21,8
1495,368,1,34,65,28,88,15,7
1514,324,1,41,71,25,68,15,8
574,118,1,40,29,11,22,3,5
1353,300,1,51,84,16,71,20,7
1719,357,1,53,104,28,64,12,7
2102,473,1,53,128,30,111,20,8
887,189,1,43,55,13,34,13,7
3667,759,1,58,236,50,152,36,8
1714,354,1,48,111,27,67,25,7
1928,410,1,62,116,30,98,29,8
1043,240,1,46,57,28,47,8,7
2460,533,1,56,152,32,117,35,8
1563,328,1,43,91,29,62,22,8
2508,550,1,55,147,45,116,47,10
1575,356,1,57,88,19,77,26,7
1449,337,1,48,83,27,57,21,7
2524,475,1,65,176,35,87,16,10
1818,405,1,50,105,30,79,24,7
443,100,1,40,26,15,20,1,4
1678,359,1,50,113,24,85,21,7
1912,413,1,49,90,16,95,37,8
2079,471,1,40,120,31,83,31,7
1371,286,1,46,79,20,64,29,8
1719,344,1,53,99,28,71,22,8
1640,372,1,60,95,24,75,28,7
2598,499,1,60,163,34,95,49,8
1399,320,1,49,74,20,63,24,7
2040,404,1,60,133,34,73,20,8
1663,368,1,51,98,21,72,22,8
1713,390,1,52,92,23,85,31,8
2625,604,1,53,128,28,129,39,9
517,116,1,38,35,3,19,12,4
1982,438,1,66,130,30,80,35,8
2315,463,1,54,139,30,94,29,8
1946,454,1,47,112,32,97,35,8
1521,331,1,47,97,19,63,23,7
2094,497,1,47,114,35,108,39,7
892,200,1,39,53,13,46,10,6
1352,291,1,36,82,15,56,8,7
57,15,1,21,2,3,2,0,2
905,214,1,38,52,18,41,19,6
