No. of Characters,No. of Words,No. of Paragraphs,No. of Unique words,No. of Noun,No. of Adv,No. of Verb,No. of Adverb,Score,Score_5
914,196,1,45,60,13,33,9,6,3
2700,602,1,56,160,31,125,17,8,4
725,172,1,41,45,11,28,8,7,4
2588,541,1,55,145,48,100,31,8,4
1496,340,1,52,85,15,69,13,7,4
1554,330,1,44,80,31,57,28,7,4
2557,531,1,55,134,30,106,21,8,4
1385,316,1,46,78,27,59,25,7,4
1585,320,1,45,105,29,76,13,7,4
1613,357,1,49,90,28,70,36,7,4
1880,396,1,47,103,33,73,19,7,4
1256,281,1,36,62,20,56,12,7,4
1047,222,1,53,70,12,45,12,7,4
877,196,1,45,52,12,39,10,6,3
2210,471,1,54,133,35,82,30,9,5
2261,496,1,47,112,45,113,31,8,4
1630,364,1,48,96,24,75,14,8,4
1721,332,1,50,97,26,71,25,7,4
1900,406,1,62,125,24,68,28,8,4
1238,261,1,44,68,18,47,7,7,4
1698,381,1,45,82,26,81,29,7,4
1234,275,1,42,71,25,56,10,7,4
1814,390,1,53,111,22,76,26,7,4
2266,473,1,61,148,35,87,29,9,5
2197,449,1,59,143,35,84,23,9,5
1826,365,1,43,112,28,71,16,7,4
2242,452,1,52,128,33,96,29,8,4
2046,412,1,59,132,27,77,23,8,4
1860,389,1,52,103,29,79,35,7,4
2062,440,1,47,118,48,93,23,8,4
1262,293,1,40,64,23,55,22,7,4
1546,359,1,45,91,41,64,16,7,4
440,99,1,46,31,7,17,3,5,3
1264,272,1,51,76,21,41,7,6,3
1785,418,1,54,98,34,74,21,8,4
1785,378,1,51,116,21,93,22,8,4
2497,526,1,56,146,46,102,40,10,5
1574,338,1,46,83,28,71,22,7,4
1523,318,1,53,94,22,61,22,7,4
1687,373,1,51,105,31,70,9,8,4
1983,450,1,54,110,17,102,23,8,4
1099,250,1,43,54,18,56,16,7,4
1038,242,1,46,56,14,49,18,7,4
2353,553,1,42,110,43,117,34,8,4
1896,386,1,50,105,35,89,28,8,4
2357,505,1,54,126,40,100,38,10,5
1126,254,1,41,64,22,69,8,7,4
1962,419,1,55,133,28,65,19,8,4
1924,435,1,57,98,29,111,30,8,4
1799,380,1,57,99,29,95,36,8,4
2329,465,1,53,144,33,92,30,8,4
1508,315,1,54,109,27,49,12,8,4
1342,291,1,43,72,17,60,8,6,3
1493,325,1,45,88,17,65,16,7,4
2362,505,1,51,151,25,107,16,7,4
1512,356,1,53,102,24,76,14,7,4
1548,340,1,44,93,15,70,21,7,4
1681,376,1,52,93,25,79,25,4,2
2928,601,1,59,179,69,124,31,9,5
1095,237,1,47,64,19,53,11,5,3
1843,375,1,55,125,19,74,23,8,4
1305,264,1,52,90,20,52,11,8,4
878,232,1,41,49,15,49,12,6,3
1908,446,1,50,123,33,81,28,8,4
1925,430,1,42,90,38,91,27,7,4
1770,399,1,53,83,10,91,35,8,4
2193,512,1,56,107,50,103,41,8,4
1174,262,1,49,66,28,41,18,8,4
1530,351,1,56,94,20,72,20,9,5
2455,512,1,54,150,34,87,46,8,4
1788,392,1,63,118,22,84,14,8,4
1896,405,1,49,113,33,89,20,8,4
1440,316,1,54,86,25,67,14,8,4
1630,324,1,52,99,26,70,23,7,4
1508,339,1,45,81,15,72,20,8,4
1139,236,1,45,57,24,55,10,6,3
2263,524,1,55,127,29,101,21,9,5
1784,392,1,59,86,18,84,21,8,4
1647,376,1,45,82,38,86,21,8,4
1185,256,1,55,75,16,45,9,7,4
3171,616,1,61,188,47,112,38,10,5
1077,240,1,43,68,18,48,9,7,4
2232,423,1,62,136,29,84,35,8,4
1629,392,1,50,82,26,83,30,7,4
2037,401,1,60,113,27,84,30,8,4
1554,346,1,43,81,19,67,24,7,4
840,177,1,50,57,8,38,19,5,3
2533,577,1,50,130,45,118,45,7,4
1670,393,1,47,89,18,84,41,7,4
2070,439,1,51,118,24,90,20,8,4
1160,251,1,49,59,20,45,24,7,4
1599,362,1,53,93,29,75,19,8,4
2396,496,1,58,143,35,91,20,9,5
814,181,1,41,47,9,40,14,5,3
939,223,1,43,48,12,45,7,6,3
1141,249,1,44,65,15,52,14,7,4
751,144,1,35,48,18,28,6,5,3
1697,386,1,50,100,19,82,21,7,4
2028,441,1,34,115,24,101,23,7,4
1825,410,1,47,93,33,74,43,8,4
1988,428,1,55,104,25,88,37,8,4
1723,375,1,52,92,30,71,32,7,4
1156,251,1,54,75,21,51,7,7,4
1516,338,1,47,81,22,70,28,8,4
1902,427,1,48,99,24,103,26,8,4
2466,541,1,54,163,48,107,22,8,4
1167,256,1,38,58,17,63,15,7,4
761,188,1,44,36,5,48,15,5,3
3124,588,1,55,187,57,109,36,10,5
1571,324,1,48,103,24,58,18,8,4
1422,319,1,43,88,12,55,21,7,4
1835,400,1,46,100,31,68,29,8,4
2668,529,1,53,148,59,107,26,10,5
1526,327,1,51,91,23,70,18,8,4
1890,395,1,45,128,10,81,17,8,4
1809,381,1,53,111,44,56,21,8,4
1947,430,1,50,98,25,91,19,8,4
2739,526,1,60,166,40,99,28,10,5
1900,426,1,50,115,28,81,28,8,4
2489,499,1,59,151,49,81,38,9,5
1421,329,1,49,76,11,67,11,7,4
2872,638,1,65,157,32,127,38,8,4
1062,231,1,49,69,6,47,13,6,3
1607,311,1,45,96,24,50,21,8,4
1490,347,1,50,75,27,76,23,7,4
1930,423,1,50,105,46,80,20,8,4
923,199,1,39,59,8,35,18,5,3
601,119,1,42,37,8,27,9,6,3
814,194,1,39,29,20,44,10,7,4
2855,536,1,68,219,26,88,24,8,4
1479,301,1,56,91,22,60,14,7,4
1007,225,1,48,57,12,50,6,7,4
2029,416,1,48,133,35,80,22,8,4
1517,307,1,58,85,24,51,24,8,4
2287,500,1,52,136,29,101,42,7,4
1958,413,1,50,119,28,77,16,8,4
1497,339,1,52,77,23,65,32,7,4
1180,258,1,46,59,16,56,9,7,4
790,200,1,33,48,14,50,16,5,3
395,86,1,30,27,6,17,2,3,2
1613,346,1,47,106,25,55,21,7,4
1639,351,1,45,89,25,77,16,8,4
870,229,1,37,38,15,50,16,5,3
1573,347,1,43,88,16,65,26,8,4
1174,276,1,40,45,11,67,25,6,3
1719,396,1,45,94,20,101,21,8,4
1013,245,1,43,59,12,44,11,6,3
950,216,1,42,47,19,54,7,6,3
568,129,1,36,30,12,23,6,5,3
1738,389,1,55,104,17,84,19,8,4
1359,306,1,46,84,19,59,15,8,4
1325,312,1,50,65,28,65,24,7,4
1340,321,1,50,74,27,65,25,7,4
1773,384,1,41,100,23,69,23,7,4
1995,464,1,51,96,23,100,37,8,4
746,158,1,50,46,13,39,8,5,3
3307,596,1,60,207,46,104,28,9,5
650,150,1,33,40,5,29,7,7,4
1995,445,1,49,108,39,92,30,9,5
2106,453,1,46,107,26,91,35,8,4
1394,316,1,39,79,23,63,23,7,4
567,127,1,40,29,8,25,5,5,3
1686,377,1,52,96,27,74,27,8,4
1841,435,1,45,99,39,81,35,7,4
1901,400,1,60,112,35,69,26,8,4
1676,368,1,46,104,30,67,12,7,4
1324,295,1,50,83,21,58,13,7,4
2237,495,1,52,119,42,120,28,8,4
1673,385,1,50,96,32,82,13,8,4
1454,326,1,47,72,24,65,23,7,4
1870,411,1,52,113,27,81,30,8,4
1147,261,1,48,59,27,51,27,7,4
1011,229,1,49,73,18,42,13,8,4
879,197,1,45,49,19,36,18,7,4
1960,487,1,45,99,30,91,25,7,4
1641,343,1,40,91,15,62,24,7,4
1147,277,1,48,66,19,57,20,6,3
1397,286,1,56,92,25,58,10,7,4
522,103,1,38,41,4,18,2,4,2
1594,353,1,39,104,13,70,3,7,4
2319,513,1,52,143,40,91,23,8,4
1495,305,1,46,95,30,56,12,7,4
1440,319,1,45,74,22,68,25,7,4
2063,434,1,49,134,35,85,26,8,4
1267,318,1,48,79,21,57,28,7,4
1523,327,1,53,91,24,76,31,8,4
1258,274,1,38,71,18,60,15,7,4
2418,495,1,55,136,40,95,28,8,4
1020,264,1,36,49,19,50,16,7,4
635,140,1,53,43,10,34,7,5,3
1220,264,1,40,66,19,57,24,7,4
1961,416,1,50,103,33,91,30,8,4
1648,317,1,59,119,28,62,27,8,4
552,125,1,44,41,3,25,3,5,3
1628,332,1,49,90,18,77,25,7,4
1479,341,1,51,73,30,81,26,7,4
1291,307,1,50,83,19,65,17,7,4
1115,251,1,45,69,25,51,14,5,3
773,184,1,43,47,10,32,10,5,3
1783,439,1,49,111,18,94,21,8,4
1033,248,1,44,67,14,56,10,5,3
562,127,1,43,32,13,16,11,3,2
1312,321,1,40,73,22,70,16,7,4
1526,344,1,46,93,18,69,13,8,4
1454,322,1,51,82,16,62,26,8,4
1353,322,1,45,86,19,62,17,7,4
1316,285,1,49,71,32,58,21,7,4
2199,472,1,59,132,30,92,41,8,4
1083,261,1,40,58,13,63,16,7,4
2079,466,1,38,111,32,100,37,8,4
1110,239,1,42,71,13,50,14,7,4
1912,420,1,51,113,33,74,28,8,4
959,211,1,46,56,15,46,9,6,3
1195,250,1,49,65,11,55,16,7,4
682,137,1,45,42,9,31,4,5,3
1571,359,1,44,96,24,75,22,7,4
2725,579,1,60,157,41,120,33,8,4
1167,279,1,37,65,16,56,16,5,3
1785,387,1,51,104,20,77,21,6,3
1675,376,1,49,78,28,78,34,7,4
238,50,1,25,14,3,9,4,2,1
1442,323,1,43,90,22,61,22,7,4
1740,397,1,52,99,23,88,22,7,4
1731,368,1,52,99,22,67,24,7,4
791,177,1,51,42,10,39,13,6,3
2052,451,1,51,109,42,96,34,8,4
1809,396,1,53,99,27,88,31,8,4
477,97,1,31,30,14,14,5,3,2
703,167,1,39,44,5,33,8,5,3
1287,286,1,49,77,26,51,22,7,4
1683,416,1,47,86,26,99,26,7,4
1419,299,1,51,93,15,63,20,7,4
2006,379,1,51,123,23,70,23,9,5
1017,219,1,43,46,19,50,26,6,3
646,140,1,31,41,8,33,7,4,2
2257,532,1,55,115,24,110,53,9,5
1280,306,1,46,81,21,41,17,6,3
1708,373,1,48,85,19,90,24,7,4
2413,545,1,48,120,28,114,15,8,4
2414,529,1,51,152,38,125,24,7,4
1887,431,1,50,104,16,86,22,8,4
1227,287,1,42,61,11,66,26,7,4
1078,233,1,51,72,21,50,15,7,4
1238,288,1,53,83,19,53,17,8,4
1088,249,1,41,63,7,51,29,7,4
1117,270,1,53,66,17,56,5,7,4
2657,613,1,57,157,33,138,30,9,5
2022,422,1,65,126,33,76,31,8,4
1288,311,1,49,81,18,69,14,7,4
1294,312,1,36,67,32,66,14,8,4
2515,531,1,45,138,40,112,30,8,4
1172,248,1,48,68,11,43,22,6,3
2095,446,1,55,127,42,83,25,8,4
2643,512,1,62,175,29,90,33,8,4
1873,421,1,58,96,42,79,25,8,4
2262,473,1,57,117,40,92,29,9,5
2396,534,1,50,135,30,118,48,8,4
143,32,1,33,10,2,10,1,2,1
1882,430,1,48,101,26,82,34,8,4
1454,338,1,52,75,25,73,25,7,4
1651,390,1,47,87,23,83,28,7,4
1718,389,1,45,95,28,80,17,8,4
2922,589,1,52,192,33,104,31,9,5
2461,550,1,57,146,35,115,31,8,4
1476,337,1,55,80,27,75,23,8,4
1452,331,1,49,59,21,74,29,7,4
1453,308,1,54,82,22,54,18,7,4
2150,472,1,56,129,30,98,24,8,4
1455,326,1,53,88,15,75,16,7,4
1208,263,1,41,53,21,54,21,7,4
1023,248,1,49,54,17,54,8,7,4
1727,379,1,50,92,33,84,16,8,4
1884,423,1,58,108,24,84,40,8,4
1329,340,1,44,75,16,77,18,7,4
1834,416,1,53,98,31,90,35,8,4
3260,712,1,58,176,59,147,52,9,5
1677,388,1,46,82,19,95,32,7,4
1179,241,1,49,74,22,46,11,7,4
1571,336,1,59,111,18,54,5,8,4
1658,362,1,50,94,19,82,21,8,4
1720,376,1,56,119,13,68,9,8,4
2281,422,1,56,140,28,83,39,8,4
1570,341,1,53,104,24,66,18,7,4
868,212,1,47,51,10,45,12,7,4
1847,430,1,42,107,23,79,30,8,4
1255,279,1,47,63,19,69,21,6,3
1939,398,1,59,114,40,67,22,8,4
3252,742,1,46,163,55,149,44,8,4
1923,445,1,59,93,25,81,42,8,4
1621,373,1,50,92,14,77,31,7,4
1376,316,1,37,67,20,68,14,7,4
2101,427,1,51,115,31,103,26,7,4
1272,275,1,52,81,25,52,12,7,4
2143,474,1,47,123,24,90,32,8,4
2065,508,1,47,91,27,115,30,8,4
2321,508,1,48,141,28,89,26,8,4
1392,341,1,47,76,23,75,28,7,4
1852,425,1,47,67,32,110,40,7,4
1060,224,1,45,75,13,42,7,7,4
1460,343,1,46,85,26,53,25,7,4
1320,289,1,43,88,23,39,17,8,4
2297,510,1,34,127,31,108,24,8,4
1351,302,1,48,83,15,68,26,7,4
1318,285,1,46,69,21,55,19,7,4
1818,414,1,49,94,25,100,23,8,4
1275,299,1,46,86,17,57,18,7,4
1217,276,1,46,79,25,42,7,7,4
1420,299,1,49,81,21,48,27,7,4
2162,461,1,58,110,36,92,51,9,5
1530,339,1,44,95,30,66,19,7,4
2736,515,1,61,185,36,82,35,9,5
1244,301,1,44,70,17,58,21,7,4
848,186,1,42,57,18,29,17,5,3
2089,414,1,51,115,42,77,30,9,5
1595,337,1,51,91,27,66,33,8,4
1546,365,1,48,75,27,81,27,7,4
1867,393,1,50,121,23,69,22,8,4
1110,218,1,44,66,26,41,14,7,4
1148,271,1,51,62,23,51,21,7,4
2262,456,1,51,135,35,105,24,8,4
1136,243,1,36,60,14,56,24,7,4
1111,257,1,48,62,12,53,19,7,4
1365,303,1,44,66,25,72,32,7,4
1701,382,1,54,96,25,79,38,8,4
1910,442,1,49,98,39,81,33,8,4
1573,343,1,58,77,38,77,31,7,4
1963,454,1,52,103,26,83,31,8,4
1649,370,1,51,83,24,84,21,7,4
1559,341,1,46,80,25,79,25,8,4
1608,379,1,50,77,23,81,32,7,4
2172,444,1,47,134,33,92,26,8,4
2030,481,1,50,105,37,95,34,8,4
1693,358,1,52,103,23,76,23,8,4
1926,463,1,59,119,30,83,30,8,4
2805,592,1,55,170,34,123,28,8,4
1638,395,1,48,81,27,75,32,8,4
2787,592,1,62,164,46,117,36,9,5
940,196,1,41,59,16,35,17,5,3
429,93,1,32,20,8,27,7,4,2
1863,413,1,56,111,29,85,33,7,4
2404,551,1,53,139,54,107,42,9,5
1158,303,1,45,58,15,74,17,7,4
2113,470,1,57,117,25,121,33,8,4
1659,354,1,53,94,17,74,27,7,4
1533,314,1,52,85,11,67,25,7,4
1566,408,1,46,116,24,74,19,7,4
667,162,1,39,35,14,35,4,5,3
1596,333,1,52,77,36,74,26,7,4
1154,227,1,51,67,22,39,15,6,3
1473,312,1,56,79,33,62,27,7,4
1758,379,1,50,102,23,78,21,7,4
506,117,1,44,32,10,22,6,4,2
3056,672,1,54,153,48,147,38,8,4
1853,414,1,47,100,31,96,28,7,4
910,195,1,46,52,16,48,15,6,3
1716,368,1,48,97,21,74,14,8,4
2375,505,1,59,148,30,99,24,9,5
1826,389,1,46,106,26,74,23,8,4
2111,478,1,51,103,27,111,38,8,4
2125,492,1,53,109,22,107,50,8,4
1964,437,1,53,124,32,77,21,8,4
1703,369,1,42,99,22,64,13,8,4
1518,353,1,49,80,23,70,21,7,4
2027,455,1,45,110,36,96,21,7,4
1432,321,1,46,90,24,56,9,7,4
1874,425,1,53,107,30,86,26,8,4
1353,301,1,44,81,19,59,24,7,4
927,209,1,50,60,21,47,7,7,4
2454,513,1,57,139,41,93,38,9,5
1486,346,1,48,75,23,69,24,7,4
2105,445,1,62,121,35,89,22,10,5
966,207,1,39,58,14,41,10,5,3
968,239,1,48,51,8,53,16,6,3
866,198,1,49,51,15,34,12,6,3
1582,384,1,46,63,28,91,31,7,4
2047,454,1,49,114,27,87,22,8,4
895,221,1,39,60,17,40,13,5,3
2028,428,1,57,118,21,72,35,8,4
1626,359,1,45,71,26,90,24,7,4
1090,259,1,47,48,10,67,18,5,3
2501,538,1,59,155,41,102,22,8,4
1197,290,1,43,61,15,47,28,6,3
1946,427,1,55,128,31,83,15,7,4
1463,325,1,54,91,26,60,22,8,4
1899,392,1,50,112,26,72,21,7,4
2053,444,1,53,116,29,84,26,9,5
1894,437,1,47,106,26,95,23,8,4
1699,388,1,53,96,28,80,17,8,4
1993,462,1,53,117,27,87,31,8,4
2059,451,1,59,130,34,86,23,8,4
2135,413,1,57,156,34,82,19,8,4
1972,427,1,57,131,24,85,24,8,4
1886,429,1,48,111,38,88,9,8,4
2244,483,1,47,131,41,91,30,8,4
1554,336,1,49,88,30,57,16,7,4
1891,384,1,50,118,25,79,29,8,4
1391,318,1,55,82,22,71,21,8,4
1452,336,1,51,67,23,73,26,7,4
1095,235,1,33,68,22,48,4,7,4
2028,464,1,57,118,29,87,25,8,4
1115,259,1,43,58,14,55,13,6,3
3453,718,1,57,178,38,151,48,9,5
1140,257,1,42,61,13,55,19,7,4
1506,332,1,46,84,11,71,22,6,3
2380,505,1,52,152,34,101,32,8,4
1694,382,1,37,89,35,86,14,7,4
1486,322,1,59,90,13,66,23,7,4
1015,224,1,48,60,12,54,13,5,3
1965,434,1,47,91,25,106,32,8,4
2226,491,1,55,119,36,111,39,9,5
1965,407,1,47,116,41,79,31,8,4
1540,349,1,48,91,14,74,21,8,4
1495,368,1,34,65,28,88,15,7,4
1514,324,1,41,71,25,68,15,8,4
574,118,1,40,29,11,22,3,5,3
1353,300,1,51,84,16,71,20,7,4
1719,357,1,53,104,28,64,12,7,4
2102,473,1,53,128,30,111,20,8,4
887,189,1,43,55,13,34,13,7,4
3667,759,1,58,236,50,152,36,8,4
1714,354,1,48,111,27,67,25,7,4
1928,410,1,62,116,30,98,29,8,4
1043,240,1,46,57,28,47,8,7,4
2460,533,1,56,152,32,117,35,8,4
1563,328,1,43,91,29,62,22,8,4
2508,550,1,55,147,45,116,47,10,5
1575,356,1,57,88,19,77,26,7,4
1449,337,1,48,83,27,57,21,7,4
2524,475,1,65,176,35,87,16,10,5
1818,405,1,50,105,30,79,24,7,4
443,100,1,40,26,15,20,1,4,2
1678,359,1,50,113,24,85,21,7,4
1912,413,1,49,90,16,95,37,8,4
2079,471,1,40,120,31,83,31,7,4
1371,286,1,46,79,20,64,29,8,4
1719,344,1,53,99,28,71,22,8,4
1640,372,1,60,95,24,75,28,7,4
2598,499,1,60,163,34,95,49,8,4
1399,320,1,49,74,20,63,24,7,4
2040,404,1,60,133,34,73,20,8,4
1663,368,1,51,98,21,72,22,8,4
1713,390,1,52,92,23,85,31,8,4
2625,604,1,53,128,28,129,39,9,5
517,116,1,38,35,3,19,12,4,2
1982,438,1,66,130,30,80,35,8,4
2315,463,1,54,139,30,94,29,8,4
1946,454,1,47,112,32,97,35,8,4
1521,331,1,47,97,19,63,23,7,4
2094,497,1,47,114,35,108,39,7,4
892,200,1,39,53,13,46,10,6,3
1352,291,1,36,82,15,56,8,7,4
57,15,1,21,2,3,2,0,2,1
905,214,1,38,52,18,41,19,6,3
